,year,price,mileage,engine_size,Automatic,Manual,Other,Semi-Auto,Diesel,Hybrid,fuel_type_Other,Petrol
493,2018,24799,20087,2.0,0,0,0,1,0,0,0,1
494,2017,18995,11800,21.0,1,0,0,0,1,0,0,0
495,2014,15280,25901,21.0,0,0,0,1,1,0,0,0
496,2014,14795,20417,2.0,1,0,0,0,0,0,0,1
497,2018,19840,14467,21.0,1,0,0,0,1,0,0,0
498,2014,13791,53144,21.0,0,0,0,1,1,0,0,0
499,2017,24360,14346,21.0,0,0,0,1,1,0,0,0
500,2016,16990,35991,21.0,0,0,0,1,1,0,0,0
501,2016,17990,30795,21.0,0,0,0,1,1,0,0,0
502,2014,14990,56958,21.0,0,0,0,1,1,0,0,0
503,2016,15990,26957,16.0,0,0,0,1,1,0,0,0
504,2017,16998,26281,16.0,0,0,0,1,1,0,0,0
505,2016,21495,16723,21.0,0,0,0,1,1,0,0,0
506,2016,20995,14909,21.0,0,0,0,1,1,0,0,0
507,2018,20495,24158,21.0,0,0,0,1,1,0,0,0
508,2019,24736,10605,2.0,0,0,0,1,1,0,0,0
509,2017,21595,12648,21.0,0,0,0,1,1,0,0,0
510,2017,21295,36135,21.0,0,0,0,1,1,0,0,0
511,2016,19995,19488,21.0,0,0,0,1,1,0,0,0
512,2017,23495,23033,21.0,0,0,0,1,1,0,0,0
513,2016,15490,22178,16.0,0,0,0,1,1,0,0,0
514,2017,17000,23400,21.0,0,0,0,1,1,0,0,0
515,2017,16402,22214,2.0,1,0,0,0,0,0,0,1
516,2019,20682,10920,21.0,1,0,0,0,1,0,0,0
517,2018,29232,8673,2.0,0,0,0,1,1,0,0,0
518,2015,14698,39687,2.0,0,0,0,1,0,0,0,1
519,2014,14288,54230,21.0,0,0,0,1,1,0,0,0
520,2018,18265,16974,21.0,0,0,0,1,1,0,0,0
521,2014,15971,14354,2.0,0,0,0,1,0,0,0,1
522,2017,19465,35599,2.0,1,0,0,0,0,0,0,1
523,2017,16210,32632,21.0,0,0,0,1,1,0,0,0
524,2016,16990,35394,21.0,0,0,0,1,1,0,0,0
525,2017,20990,19733,2.0,0,0,0,1,0,0,0,1
